,district,mandal,month,rain,temp,humidity,N,P,K,pH
0,Adilabad,Adilabad Rural,1,1.82,20.45,74.58833333,0.0,0.0,0.0,0.0
1,Adilabad,Adilabad Urban,1,0.603333333,21.525,68.71833333,0.0,0.0,0.0,0.0
2,Adilabad,Adilabad Urban,1,1.48,19.63166667,73.67833333,0.0,0.0,0.0,0.0
3,Adilabad,Bazarhathnoor,1,0.603333333,21.25,70.095,0.0,0.0,0.0,0.0
4,Adilabad,Bela,1,0.553333333,20.54166667,74.765,0.0,0.0,0.0,0.0
5,Adilabad,Bheempoor,1,0.396666667,20.035,71.505,0.0,0.0,0.0,0.0
6,Adilabad,Boath,1,2.943333333,20.53166667,72.0,0.0,0.0,0.0,0.0
7,Adilabad,Gadiguda,1,2.013333333,20.40666667,72.56333333,0.0,0.0,0.0,0.0
8,Adilabad,Gudihathnur,1,1.126666667,20.62666667,71.74166667,0.0,0.0,0.0,0.0
9,Adilabad,Ichoda,1,1.003333333,21.01,71.94333333,0.0,0.0,0.0,0.0
10,Adilabad,Inderavelly,1,0.626666667,22.08333333,69.74,0.0,0.0,0.0,0.0
11,Adilabad,Jainad,1,0.886666667,20.74333333,66.20833333,0.0,0.0,0.0,0.0
12,Adilabad,Mavala,1,3.366666667,20.44833333,64.92,0.0,0.0,0.0,0.0
13,Adilabad,Narnoor,1,1.02,20.98,68.62666667,0.0,0.0,0.0,0.0
14,Adilabad,Neradigonda,1,0.853333333,21.325,71.91833333,0.0,0.0,0.0,0.0
15,Adilabad,Sirikonda,1,0.963333333,20.56333333,73.21833333,0.0,0.0,0.0,0.0
16,Adilabad,Talamadugu,1,0.55,20.75666667,74.29,0.0,0.0,0.0,0.0
17,Adilabad,Tamsi,1,1.95,20.48166667,73.94666667,0.0,0.0,0.0,0.0
18,Adilabad,Utnur,1,0.253333333,21.86666667,70.38833333,0.0,0.0,0.0,0.0
19,Bhadradri Kothagudem,Allapalli,1,1.493333333,23.66,70.375,0.0,0.0,0.0,0.0
